DURATION,GOAL_DESC,SEASON,DATE_TIME,HOME_TEAM,AWAY_TEAM,STADIUM,POSITION,HEIGHT,WEIGHT,FOOT,GOAL_SCORER,GOAL_SCORER_TEAM_NAME,ASSIST_PLAYER,GOALS,ASSISTS
64,left-footed shot,2018-2019,43361,FC Schalke 04,FC Porto,Veltins-Arena,Forward,187,88,R,Breel Embolo,FC Schalke 04,Weston McKennie,1,1
70,header,2020-2021,44243,FC Barcelona,Paris Saint-Germain,Spotify Camp Nou,Forward,182,72,R,Moise Kean,Paris Saint-Germain,Leandro Paredes,1,1
66,right-footed shot,2018-2019,43362,BSC Young Boys,Manchester United,Stadion Wankdorf,Forward,181,76,R,Anthony Martial,Manchester United,Paul Pogba,1,1
21,left-footed shot,2020-2021,44132,Manchester United,RB Leipzig,Old Trafford,Forward,181,70,,Mason Greenwood,Manchester United,Paul Pogba,1,1
87,right-footed shot,2020-2021,44124,Paris Saint-Germain,Manchester United,Parc des Princes,Forward,185,70,R,Marcus Rashford,Manchester United,Paul Pogba,1,1
64,left-footed shot,2017-2018,43074,Manchester United,CSKA Moskva,Old Trafford,Forward,192,93,L,Romelu Lukaku,Manchester United,Paul Pogba,1,1
82,right-footed shot,2020-2021,44244,FC Porto,Juventus,Estádio do Dragão,Forward,175,70,R,Federico Chiesa,Juventus,Adrien Rabiot,1,1
19,right-footed shot,2017-2018,42990,Celtic FC,Paris Saint-Germain,Celtic Park,Forward,175,68,R,Neymar,Paris Saint-Germain,Adrien Rabiot,1,1
9,left-footed shot,2017-2018,43061,Paris Saint-Germain,Celtic FC,Parc des Princes,Forward,175,68,R,Neymar,Paris Saint-Germain,Adrien Rabiot,2,1
90,right-footed shot,2016-2017,42675,FC Basel,Paris Saint-Germain,St. Jakob-Park,Defender,191,90,R,Thomas Meunier,Paris Saint-Germain,Adrien Rabiot,1,1
37,left-footed shot,2016-2017,42661,Real Madrid,Legia Warszawa,Santiago Bernabéu,Forward,182,76,L,Marco Asensio,Real Madrid,Cristiano Ronaldo,1,2
84,right-footed shot,2016-2017,42661,Real Madrid,Legia Warszawa,Santiago Bernabéu,Forward,187,82,R,Álvaro Morata,Real Madrid,Cristiano Ronaldo,1,2
49,right-footed shot,2016-2017,42781,Real Madrid,SSC Napoli,Santiago Bernabéu,Midfielder,183,76,R,Toni Kroos,Real Madrid,Cristiano Ronaldo,1,1
29,left-footed shot,2016-2017,42696,Sporting CP,Real Madrid,Estádio José Alvalade,Defender,191,81,R,Raphaël Varane,Real Madrid,Cristiano Ronaldo,1,1
49,right-footed shot,2020-2021,44264,Juventus,FC Porto,Allianz Stadium,Forward,175,70,R,Federico Chiesa,Juventus,Cristiano Ronaldo,2,1
45,right-footed shot,2017-2018,43060,APOEL Nikosia,Real Madrid,Neo GSP Stadium,Forward,185,81,R,Karim Benzema,Real Madrid,Cristiano Ronaldo,2,1
22,left-footed shot,2017-2018,43061,Paris Saint-Germain,Celtic FC,Parc des Princes,Forward,175,68,R,Neymar,Paris Saint-Germain,Marco Verratti,2,1
80,right-footed shot,2017-2018,43165,Paris Saint-Germain,Real Madrid,Parc des Princes,Midfielder,185,84,R,Casemiro,Real Madrid,Cristiano Ronaldo,1,1
80,left-footed shot,2018-2019,43446,BSC Young Boys,Juventus,Stadion Wankdorf,Forward,177,75,L,Paulo Dybala,Juventus,Cristiano Ronaldo,1,1
60,right-footed shot,2020-2021,44139,Ferencvárosi TC,Juventus,Puskás Aréna,Forward,187,82,R,Álvaro Morata,Juventus,Cristiano Ronaldo,2,1
4,right-footed shot,2019-2020,43775,Lokomotiv Moskva,Juventus,RŽD-Arena,Midfielder,182,76,,Aaron Ramsey,Juventus,Cristiano Ronaldo,1,1
1,left-footed shot,2016-2017,42676,Legia Warszawa,Real Madrid,Stadion Wojska Polskiego,Forward,185,82,L,Gareth Bale,Real Madrid,Cristiano Ronaldo,1,1
72,left-footed shot,2017-2018,43193,Juventus,Real Madrid,Allianz Stadium,Defender,174,75,L,Marcelo,Real Madrid,Cristiano Ronaldo,2,2
72,left-footed shot,2017-2018,43193,Juventus,Real Madrid,Allianz Stadium,Defender,174,75,L,Marcelo,,Cristiano Ronaldo,2,2
78,right-footed shot,2021-2022,44629,Real Madrid,Paris Saint-Germain,Santiago Bernabéu,Forward,185,81,R,Karim Benzema,Real Madrid,N/A,3,0
46,right-footed shot,2021-2022,44657,Chelsea FC,Real Madrid,Stamford Bridge,Forward,185,81,R,Karim Benzema,Real Madrid,N/A,3,0
82,penalty,2021-2022,44677,Manchester City,Real Madrid,Etihad Stadium,Forward,185,81,R,Karim Benzema,Real Madrid,N/A,2,0
79,left-footed shot,2017-2018,43151,Bayern München,Beşiktaş,Allianz Arena,Forward,185,81,R,Robert Lewandowski,Bayern München,N/A,2,0
2,penalty,2018-2019,43617,Tottenham Hotspur,Liverpool FC,Wanda Metropolitano,Forward,175,73,L,Mo Salah,,N/A,1,0
53,own goal,2021-2022,44678,Liverpool FC,Villarreal CF,Anfield,Defender,175,78,L,Pervis Estupiñán,Villarreal CF,N/A,1,0
61,right-footed shot,2016-2017,42889,Juventus,Real Madrid,Millennium,Midfielder,185,84,R,Casemiro,Real Madrid,N/A,1,0
63,header,2020-2021,44264,Juventus,FC Porto,Allianz Stadium,Forward,175,70,R,Federico Chiesa,Juventus,Juan Cuadrado,2,1
59,right-footed shot,2018-2019,43431,Juventus,Valencia CF,Allianz Stadium,Midfielder,,,,,,Cristiano Ronaldo,4,1
66,right-footed shot,2020-2021,44167,Juventus,Dinamo Kiev,Allianz Stadium,Forward,187,82,R,Álvaro Morata,Juventus,Federico Chiesa,1,1
39,right-footed shot,2017-2018,43060,APOEL Nikosia,Real Madrid,Neo GSP Stadium,Forward,185,81,R,Karim Benzema,Real Madrid,Toni Kroos,2,1
90,left-footed shot,2016-2017,42889,Juventus,Real Madrid,Millennium,Forward,182,76,L,Marco Asensio,Real Madrid,Marcelo,1,1
110,right-footed shot,2016-2017,42843,Real Madrid,Bayern München,Santiago Bernabéu,Forward,187,83,,Cristiano Ronaldo,Real Madrid,Marcelo,3,1
11,header,2017-2018,43221,Real Madrid,Bayern München,Santiago Bernabéu,Forward,185,81,R,Karim Benzema,Real Madrid,Marcelo,2,1
49,header,2017-2018,43060,APOEL Nikosia,Real Madrid,Neo GSP Stadium,Forward,187,83,,Cristiano Ronaldo,Real Madrid,Marcelo,2,1
7,left-footed shot,2020-2021,44139,Ferencvárosi TC,Juventus,Puskás Aréna,Forward,187,82,R,Álvaro Morata,Juventus,Juan Cuadrado,2,1
79,header,2019-2020,43795,Real Madrid,Paris Saint-Germain,Santiago Bernabéu,Forward,185,81,R,Karim Benzema,Real Madrid,Marcelo,2,1
4,left-footed shot,2019-2020,43775,Real Madrid,Galatasaray,Santiago Bernabéu,Forward,174,64,R,Rodrygo,Real Madrid,Marcelo,6,4
7,header,2019-2020,43775,Real Madrid,Galatasaray,Santiago Bernabéu,Forward,174,64,R,Rodrygo,Real Madrid,Marcelo,6,4
4,left-footed shot,2019-2020,43775,Real Madrid,Galatasaray,Santiago Bernabéu,Forward,174,64,R,Rodrygo,Real Madrid,Marcelo,6,4
7,header,2019-2020,43775,Real Madrid,Galatasaray,Santiago Bernabéu,Forward,174,64,R,Rodrygo,Real Madrid,Marcelo,6,4
54,right-footed shot,2020-2021,44125,Real Madrid,Shakhtar Donetsk,Alfredo Di Stéfano,Midfielder,172,66,,Luka Modrić,Real Madrid,Marcelo,1,1
90,right-footed shot,2018-2019,43362,Real Madrid,AS Roma,Santiago Bernabéu,Forward,180,76,R,Mariano,Real Madrid,Marcelo,4,4
90,right-footed shot,2018-2019,43362,Real Madrid,AS Roma,Santiago Bernabéu,Forward,180,76,R,Mariano,Real Madrid,Marcelo,4,4
90,right-footed shot,2018-2019,43362,Real Madrid,AS Roma,Santiago Bernabéu,Forward,180,76,R,Mariano,Real Madrid,Marcelo,4,4
90,right-footed shot,2018-2019,43362,Real Madrid,AS Roma,Santiago Bernabéu,Forward,180,76,R,Mariano,Real Madrid,Marcelo,4,4
23,header,2021-2022,44453,Malmö FF,Juventus,Nya Malmö Stadion,Defender,180,80,L,Alex Sandro,Juventus,Rodrigo Bentancur,1,1
60,left-footed shot,2021-2022,44468,Manchester United,Villarreal CF,Old Trafford,Defender,181,71,L,Alex Telles,Manchester United,Bruno Fernandes,1,1
64,bicycle kick,2017-2018,43246,Real Madrid,Liverpool FC,Olimpiyskyi,Forward,185,82,L,Gareth Bale,Real Madrid,Marcelo,2,2
83,left-footed shot,2017-2018,43246,Real Madrid,Liverpool FC,Olimpiyskyi,Forward,185,82,L,Gareth Bale,Real Madrid,Marcelo,2,2
57,right-footed shot,2018-2019,43445,Galatasaray,FC Porto,Nef Stadyumu,Midfielder,181,78,R,Sérgio Oliveira,FC Porto,Hernâni,1,1
71,free kick,2020-2021,44314,Paris Saint-Germain,Manchester City,Parc des Princes,Forward,179,67,L,Riyad Mahrez,Manchester City,N/A,1,0
51,right-footed shot,2017-2018,43246,Real Madrid,Liverpool FC,Olimpiyskyi,Forward,185,81,R,Karim Benzema,Real Madrid,N/A,1,0
31,penalty,2020-2021,44265,Paris Saint-Germain,FC Barcelona,Parc des Princes,Forward,178,73,R,Kylian Mbappé,Paris Saint-Germain,N/A,1,0
71,free kick,2017-2018,43152,Shakhtar Donetsk,AS Roma,Metalist Stadion,Midfielder,169,62,L,Fred,Shakhtar Donetsk,N/A,1,0
2,right-footed shot,2020-2021,44244,FC Porto,Juventus,Estádio do Dragão,Forward,187,82,R,Mehdi Taremi,FC Porto,N/A,1,0
94,right-footed shot,2019-2020,43901,Liverpool FC,Atlético Madrid,Anfield,Forward,181,76,R,Roberto Firmino,Liverpool FC,N/A,1,0
83,free kick,2020-2021,44271,Real Madrid,Atalanta,Alfredo Di Stéfano,Forward,179,75,R,Luis Muriel,Atalanta,N/A,1,0
83,header,2018-2019,43431,Olympique Lyon,Manchester City,Groupama Stadium,Midfielder,,,,,,Riyad Mahrez,4,1
62,right-footed shot,2020-2021,44174,Paris Saint-Germain,İstanbul Başakşehir,Parc des Princes,Forward,178,73,R,Kylian Mbappé,Paris Saint-Germain,Ángel Di María,2,2
50,right-footed shot,2020-2021,44174,Paris Saint-Germain,İstanbul Başakşehir,Parc des Princes,Forward,175,68,R,Neymar,Paris Saint-Germain,Ángel Di María,3,2
13,left-footed shot,2018-2019,43431,Bayern München,SL Benfica,Allianz Arena,Midfielder,,,,,,Thomas Müller,4,2
30,left-footed shot,2018-2019,43431,Bayern München,SL Benfica,Allianz Arena,Midfielder,,,,,,Thomas Müller,4,2
68,right-footed shot,2020-2021,44293,Bayern München,Paris Saint-Germain,Allianz Arena,Forward,178,73,R,Kylian Mbappé,Paris Saint-Germain,Ángel Di María,2,1
79,right-footed shot,2019-2020,43760,Club Brugge KV,Paris Saint-Germain,Jan Breydel Stadion,Forward,178,73,R,Kylian Mbappé,Paris Saint-Germain,Ángel Di María,3,3
83,left-footed shot,2019-2020,43760,Club Brugge KV,Paris Saint-Germain,Jan Breydel Stadion,Forward,178,73,R,Kylian Mbappé,Paris Saint-Germain,Ángel Di María,3,3
7,right-footed shot,2019-2020,43760,Club Brugge KV,Paris Saint-Germain,Jan Breydel Stadion,Forward,181,75,R,Mauro Icardi,Paris Saint-Germain,Ángel Di María,2,3
60,right-footed shot,2018-2019,43508,Manchester United,Paris Saint-Germain,Old Trafford,Forward,178,73,R,Kylian Mbappé,Paris Saint-Germain,Ángel Di María,1,2
53,left-footed shot,2018-2019,43508,Manchester United,Paris Saint-Germain,Old Trafford,Defender,189,80,L,Presnel Kimpembe,Paris Saint-Germain,Ángel Di María,1,2
74,header,2018-2019,43445,Crvena Zvezda,Paris Saint-Germain,Marakana,Defender,183,75,R,Marquinhos,Paris Saint-Germain,Ángel Di María,1,1
56,header,2019-2020,44061,RB Leipzig,Paris Saint-Germain,Estádio da Luz,Defender,170,67,L,Juan Bernat,Paris Saint-Germain,Ángel Di María,1,2
13,header,2019-2020,44061,RB Leipzig,Paris Saint-Germain,Estádio da Luz,Defender,183,75,R,Marquinhos,Paris Saint-Germain,Ángel Di María,1,2
105,left-footed shot,2016-2017,42843,Real Madrid,Bayern München,Santiago Bernabéu,Forward,187,83,,Cristiano Ronaldo,Real Madrid,Sergio Ramos,3,1
15,header,2020-2021,44314,Paris Saint-Germain,Manchester City,Parc des Princes,Defender,183,75,R,Marquinhos,Paris Saint-Germain,Ángel Di María,1,1
76,header,2016-2017,42843,Real Madrid,Bayern München,Santiago Bernabéu,Forward,187,83,,Cristiano Ronaldo,Real Madrid,Casemiro,3,1
11,penalty,2020-2021,44159,Paris Saint-Germain,RB Leipzig,Parc des Princes,Forward,175,68,R,Neymar,Paris Saint-Germain,Ángel Di María,1,1
28,header,2019-2020,43901,Paris Saint-Germain,Borussia Dortmund,Parc des Princes,Forward,175,68,R,Neymar,Paris Saint-Germain,Ángel Di María,1,1
7,own goal,2019-2020,44057,FC Barcelona,Bayern München,Estádio da Luz,Defender,180,78,L,David Alaba,Bayern München,N/A,1,0
55,header,2016-2017,42641,PFC Ludogorets Razgrad,Paris Saint-Germain,Vasil Levski,Forward,184,77,R,Edinson Cavani,Paris Saint-Germain,Ángel Di María,2,1
78,left-footed shot,2017-2018,43039,Paris Saint-Germain,RSC Anderlecht,Parc des Princes,Defender,182,74,L,Layvin Kurzawa,Paris Saint-Germain,Ángel Di María,3,1
54,left-footed shot,2017-2018,43060,APOEL Nikosia,Real Madrid,Neo GSP Stadium,Forward,187,83,,Cristiano Ronaldo,Real Madrid,Karim Benzema,2,1
14,right-footed shot,2020-2021,44125,Manchester City,FC Porto,Etihad Stadium,Forward,180,73,R,Luis Díaz,FC Porto,Mateus Uribe,1,1
6,left-footed shot,2020-2021,44139,RB Leipzig,Paris Saint-Germain,Red Bull Arena,Forward,180,75,L,Ángel Di María,Paris Saint-Germain,Moise Kean,1,1
33,penalty,2020-2021,44272,Bayern München,Lazio Roma,Allianz Arena,Forward,185,81,R,Robert Lewandowski,Bayern München,N/A,1,0
28,header,2020-2021,44321,Chelsea FC,Real Madrid,Stamford Bridge,Forward,181,75,R,Timo Werner,Chelsea FC,N/A,1,0
52,header,2019-2020,43725,RB Salzburg,KRC Genk,Red Bull Arena,Forward,183,78,R,Ally Samatta,,Théo Bongonda,1,1
58,left-footed shot,2016-2017,42641,SSC Napoli,SL Benfica,Diego Maradona,Forward,169,61,R,Dries Mertens,SSC Napoli,Arkadiusz Milik,2,1
41,header,2019-2020,43774,Liverpool FC,KRC Genk,Anfield,Forward,183,78,R,Ally Samatta,,Bryan Heynen,1,1
85,header,2019-2020,43796,KRC Genk,RB Salzburg,Cegeka Arena,Forward,183,78,R,Ally Samatta,,Paul Onuachu,1,1
82,left-footed shot,2021-2022,44502,Juventus,Zenit St. Petersburg,Allianz Stadium,Forward,187,82,R,Álvaro Morata,Juventus,Paulo Dybala,1,1
90,right-footed shot,2019-2020,43775,Real Madrid,Galatasaray,Santiago Bernabéu,Forward,174,64,R,Rodrygo,Real Madrid,Karim Benzema,6,2
90,right-footed shot,2019-2020,43775,Real Madrid,Galatasaray,Santiago Bernabéu,Forward,174,64,R,Rodrygo,Real Madrid,Karim Benzema,6,2
33,left-footed shot,2019-2020,44062,Olympique Lyon,Bayern München,Estádio José Alvalade,Forward,176,77,R,Serge Gnabry,Bayern München,N/A,2,0
71,left-footed shot,2016-2017,42809,AS Monaco,Manchester City,Stade Louis II,Forward,183,80,L,Leroy Sané,Manchester City,N/A,1,0
